"","vehicleid","shift_risk","avgSpeedRisk","avgconerRisk","avgBrakingRisk","avgAccelerationRisk","totalClaimsRisk","average_speeding_risk","total_average_driving_duration_risk","time_ON_SecAvg","distance_KMAvg","average_speed_KMpHAvg"
"1",111082600,8.2436651125076,5.93478260869565,2.71693448702101,3.16666666666667,2,3.9,4,6.77647058823529,2722.17231075697,10.9937151394422,10.3502478949124
"2",115994042,8.56304879667735,6.31192660550459,2.37582674101932,2.95098039215686,1.5,1,4,7.97752808988764,2010.76454668471,11.8900047361299,15.3022511741154
"3",119059287,8.28963785900294,6.09032258064516,2.5560416352391,2.89473684210526,1.05882352941176,1,4,7.36363636363636,1842.01359619307,9.87316723317471,9.66076271709609
"4",122129229,8.08046301524562,6.33827893175074,3.0816231884058,2.6260162601626,1.30952380952381,1,4,8.6,3050.1031543052,18.3690818414322,20.7261167252095
"5",122196196,8.42749990785448,6.44,2.40939905779616,2.97846153846154,1.25,2.8,4,6.7906976744186,1942.2853087296,8.6938573456352,14.7556262423537
